ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
107;3;4;7;3;0;0;5;0;4;Le Havre
108;1;3;4;1;0;0;10;0;18;Toulouse
109;0;0;0;0;0;0;5;1;11;Nantes
110;0;0;0;0;0;0;0;0;1;Angers
111;0;0;0;0;0;0;0;0;11;Nantes
112;1;0;1;1;0;0;6;0;3;Brest
113;1;0;1;1;0;0;1;0;5;Lens
114;0;0;0;0;0;0;1;0;10;Montpellier
115;0;0;0;0;0;0;0;0;1;Angers
116;8;10;18;8;0;0;3;0;7;Lyon
117;0;0;0;0;0;0;0;0;6;Lille
118;0;2;2;0;0;0;6;0;11;Nantes
119;1;0;1;1;0;0;5;0;10;Montpellier
120;1;0;1;1;0;0;4;0;15;Rennes
121;0;0;0;0;0;0;0;0;2;Auxerre
122;3;8;11;3;0;0;7;0;12;Nice
