ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
248;0;0;0;0;0;0;0;0;14;Reims
249;0;0;0;0;0;0;0;0;14;Reims
250;0;0;0;0;0;0;0;0;17;Strasbourg
251;0;1;1;0;0;0;3;1;2;Auxerre
252;1;0;1;1;0;0;0;0;15;Rennes
253;0;2;2;0;0;0;1;0;4;Le Havre
254;6;0;6;3;3;4;7;0;2;Auxerre
255;10;2;12;10;0;0;5;0;2;Auxerre
256;1;1;2;1;0;0;4;0;14;Reims
257;1;2;3;1;0;0;1;0;11;Nantes
258;17;3;20;12;5;8;2;0;15;Rennes
259;0;0;0;0;0;0;0;0;1;Angers
260;0;1;1;0;0;0;3;0;18;Toulouse
261;0;1;1;0;0;0;0;0;15;Rennes
262;0;0;0;0;0;0;0;0;13;Paris S-G
263;0;0;0;0;0;0;0;0;17;Strasbourg
264;6;6;12;6;0;0;1;0;13;Paris S-G
265;2;0;2;2;0;0;4;0;4;Le Havre
266;4;0;4;4;0;0;1;0;9;Monaco
267;0;0;0;0;0;0;0;0;14;Reims
268;1;1;2;1;0;0;4;0;10;Montpellier
269;0;0;0;0;0;0;2;1;5;Lens
270;0;0;0;0;0;0;0;0;13;Paris S-G
271;5;2;7;5;0;0;2;0;18;Toulouse
272;0;1;1;0;0;0;4;2;14;Reims
273;0;0;0;0;0;0;2;0;5;Lens
274;0;0;0;0;0;0;1;0;9;Monaco
275;3;1;4;2;1;1;2;0;4;Le Havre
276;2;1;3;1;1;1;0;0;13;Paris S-G
277;0;0;0;0;0;0;1;0;8;Marseille
278;0;0;0;0;0;0;0;0;14;Reims
279;0;0;0;0;0;0;3;1;14;Reims
280;0;0;0;0;0;0;0;0;8;Marseille
281;1;1;2;1;0;0;0;0;8;Marseille
282;0;0;0;0;0;0;0;0;8;Marseille
283;0;0;0;0;0;0;6;1;10;Montpellier
284;4;0;4;4;0;0;0;0;5;Lens
285;0;0;0;0;0;0;2;0;7;Lyon
286;1;0;1;1;0;0;1;0;4;Le Havre
287;2;3;5;2;0;0;0;0;13;Paris S-G
288;2;1;3;2;0;0;5;0;5;Lens
289;9;4;13;5;4;4;1;0;12;Nice
290;13;2;15;9;4;5;5;0;7;Lyon
291;0;0;0;0;0;0;0;0;6;Lille
292;0;0;0;0;0;0;1;0;11;Nantes
293;3;2;5;0;3;3;5;0;3;Brest
294;2;1;3;2;0;0;1;0;6;Lille
295;0;0;0;0;0;0;5;0;16;Saint-Étienne
296;0;1;1;0;0;0;3;0;3;Brest
297;0;0;0;0;0;0;0;0;3;Brest
298;0;0;0;0;0;0;0;0;10;Montpellier
299;2;2;4;2;0;0;6;0;3;Brest
300;0;1;1;0;0;0;2;0;1;Angers
301;4;3;7;4;0;0;2;0;17;Strasbourg
302;0;2;2;0;0;0;4;0;2;Auxerre
303;9;0;9;9;0;0;2;0;1;Angers
304;2;1;3;2;0;0;3;0;11;Nantes
305;2;1;3;2;0;0;1;0;11;Nantes
306;1;2;3;1;0;0;1;1;8;Marseille
307;2;1;3;2;0;0;5;0;4;Le Havre
308;0;0;0;0;0;0;0;0;3;Brest
309;0;0;0;0;0;0;0;0;4;Le Havre
310;0;0;0;0;0;0;2;0;11;Nantes
311;0;0;0;0;0;0;0;0;12;Nice
312;1;0;1;1;0;0;1;0;12;Nice
313;0;0;0;0;0;0;0;0;17;Strasbourg
314;1;1;2;1;0;0;1;0;10;Montpellier
315;1;4;5;1;0;0;7;2;5;Lens
316;0;0;0;0;0;0;0;0;1;Angers
317;0;0;0;0;0;0;4;0;16;Saint-Étienne
318;0;0;0;0;0;0;1;0;2;Auxerre
319;0;1;1;0;0;0;5;0;9;Monaco
320;1;0;1;1;0;0;4;0;3;Brest
321;5;0;5;5;0;0;5;1;18;Toulouse
322;1;4;5;1;0;0;1;0;7;Lyon
323;0;0;0;0;0;0;1;0;9;Monaco
324;0;0;0;0;0;0;0;0;3;Brest
325;0;0;0;0;0;0;2;0;10;Montpellier
326;0;0;0;0;0;0;0;0;6;Lille
327;0;0;0;0;0;0;0;0;3;Brest
328;0;0;0;0;0;0;0;0;15;Rennes
329;0;0;0;0;0;0;3;0;6;Lille
330;0;0;0;0;0;0;0;0;7;Lyon
331;1;1;2;1;0;0;2;0;17;Strasbourg
332;1;0;1;1;0;0;3;0;13;Paris S-G
333;0;0;0;0;0;0;0;0;14;Reims
334;1;0;1;1;0;0;2;0;3;Brest
335;0;0;0;0;0;0;5;0;2;Auxerre
336;0;4;4;0;0;0;6;0;7;Lyon
337;0;0;0;0;0;0;0;0;9;Monaco
338;0;1;1;0;0;0;1;0;7;Lyon
339;0;0;0;0;0;0;1;0;2;Auxerre
340;1;3;4;1;0;0;3;0;15;Rennes
341;4;4;8;4;0;0;3;1;8;Marseille
342;0;0;0;0;0;0;3;0;9;Monaco
343;2;1;3;2;0;0;1;0;13;Paris S-G
344;0;0;0;0;0;0;3;0;6;Lille
345;1;1;2;1;0;0;0;0;13;Paris S-G
346;1;1;2;1;0;0;1;1;18;Toulouse
347;0;1;1;0;0;0;14;1;5;Lens
348;1;0;1;1;0;0;0;0;15;Rennes
349;0;0;0;0;0;0;2;1;10;Montpellier
350;0;0;0;0;0;0;0;0;10;Montpellier
351;2;0;2;2;0;0;0;0;15;Rennes
352;2;3;5;2;0;0;1;0;1;Angers
353;1;2;3;1;0;0;3;0;13;Paris S-G
354;0;0;0;0;0;0;2;0;12;Nice
355;0;0;0;0;0;0;2;0;5;Lens
356;0;1;1;0;0;0;2;0;2;Auxerre
357;1;3;4;1;0;0;1;0;8;Marseille
358;0;1;1;0;0;0;0;0;18;Toulouse
359;2;0;2;2;0;0;5;0;6;Lille
360;0;0;0;0;0;0;0;0;9;Monaco
361;11;6;17;8;3;4;2;0;7;Lyon
362;0;0;0;0;0;0;0;0;16;Saint-Étienne
363;6;3;9;6;0;0;4;0;9;Monaco
364;1;0;1;1;0;0;0;0;10;Montpellier
365;0;0;0;0;0;0;0;0;12;Nice
366;5;0;5;5;0;0;3;0;11;Nantes
367;0;0;0;0;0;0;1;0;11;Nantes
368;2;7;9;2;0;0;4;1;17;Strasbourg
369;0;0;0;0;0;0;1;0;14;Reims
370;0;0;0;0;0;0;3;0;10;Montpellier
371;0;1;1;0;0;0;2;0;16;Saint-Étienne
372;2;1;3;2;0;0;0;0;12;Nice
373;0;1;1;0;0;0;2;0;16;Saint-Étienne
374;0;1;1;0;0;0;4;0;6;Lille
375;4;2;6;4;0;0;5;0;14;Reims
376;1;1;2;1;0;0;0;0;9;Monaco
377;1;2;3;1;0;0;1;1;4;Le Havre
378;0;0;0;0;0;0;0;0;4;Le Havre
379;0;0;0;0;0;0;1;0;2;Auxerre
380;0;0;0;0;0;0;0;0;16;Saint-Étienne
381;1;2;3;1;0;0;1;0;16;Saint-Étienne
382;1;0;1;1;0;0;2;0;8;Marseille
383;2;0;2;2;0;0;1;0;15;Rennes
384;11;2;13;11;0;0;5;0;14;Reims
385;5;4;9;5;0;0;0;0;17;Strasbourg
386;0;0;0;0;0;0;0;0;12;Nice
387;3;0;3;3;0;0;5;0;12;Nice
388;0;0;0;0;0;0;0;0;10;Montpellier
389;1;0;1;1;0;0;2;0;4;Le Havre
390;0;0;0;0;0;0;0;0;10;Montpellier
391;1;2;3;1;0;0;2;0;12;Nice
392;0;0;0;0;0;0;4;0;4;Le Havre
393;3;8;11;3;0;0;1;0;13;Paris S-G
394;0;0;0;0;0;0;1;1;15;Rennes
395;0;0;0;0;0;0;0;0;4;Le Havre
396;0;0;0;0;0;0;0;0;12;Nice
397;0;0;0;0;0;0;2;0;7;Lyon
398;1;0;1;1;0;0;3;1;3;Brest
399;3;1;4;2;1;1;0;0;1;Angers
400;0;1;1;0;0;0;0;0;18;Toulouse
401;4;1;5;3;1;2;2;0;10;Montpellier
402;0;0;0;0;0;0;0;0;11;Nantes
403;3;1;4;3;0;0;2;0;7;Lyon
404;1;0;1;1;0;0;11;0;10;Montpellier
405;6;1;7;6;0;0;3;1;5;Lens
406;0;0;0;0;0;0;2;0;16;Saint-Étienne
407;1;0;1;1;0;0;5;0;5;Lens
408;1;0;1;1;0;0;4;1;14;Reims
409;0;1;1;0;0;0;0;0;15;Rennes
410;0;0;0;0;0;0;0;0;16;Saint-Étienne
411;0;0;0;0;0;0;0;0;7;Lyon
412;0;0;0;0;0;0;1;0;10;Montpellier
413;0;0;0;0;0;0;3;0;17;Strasbourg
414;4;1;5;4;0;0;1;1;2;Auxerre
415;0;2;2;0;0;0;2;1;4;Le Havre
416;0;0;0;0;0;0;0;0;2;Auxerre
417;0;0;0;0;0;0;0;0;12;Nice
418;0;0;0;0;0;0;0;0;14;Reims
419;2;0;2;2;0;0;1;0;7;Lyon
420;1;0;1;1;0;0;1;1;2;Auxerre
421;0;0;0;0;0;0;0;0;16;Saint-Étienne
422;1;1;2;1;0;0;1;0;17;Strasbourg
423;0;1;1;0;0;0;2;0;9;Monaco
424;0;0;0;0;0;0;1;0;1;Angers
425;0;0;0;0;0;0;0;0;16;Saint-Étienne
426;1;3;4;1;0;0;7;0;2;Auxerre
427;0;1;1;0;0;0;2;0;13;Paris S-G
428;0;2;2;0;0;0;8;0;11;Nantes
429;0;0;0;0;0;0;0;0;10;Montpellier
430;0;0;0;0;0;0;0;0;16;Saint-Étienne
